BIL_ID|MENU_NAME|REM|MF_TABLE|TF_TABLE|MENUID|MOD_NAME|BIL_TYPE
------|---------|---|--------|--------|------|--------|--------
01|AccCEA|明细分类帐|||SCDA|ACC|
02|AccCK|对象别明细表|||SCKA|ACC|
03|AccCK1|对象别明细表[单科目]|||NULL|ACC|
04|AccGCYG|工程材料耗用明细表|||SFN|ACC|
05|MojAA1|模具基础资料|MOLD||NULL|MOJ|
06|AccEN1|银行资料|BANK||NULL||
07|AccEO1|帐户资料|BACC||NULL||
08|FasEH6|会计科目|ACCN||||
09|AccGA1|工程案号设置|CASN||||
10|InvDL|库存安全存量明细表|||TDJ|INV|
11|UP_DEF|一般售价政策|UP_DEF||TJAA||SA
12|UP_DEFA|一般采购政策|UP_DEF||TJAB||PC
13|Up_DefB|一般托工定价政策|UP_DEF||WTP||MO
14|FasEB|员工资料|SALM||REBA||NULL
15|FasECB|仓库资料|MY_WH||RECB||NULL
16|AccAD|科目预算输入|ABGT|ABGT1|SAEA|ACC|
17|MrpFGE|检验方案设定作业|MF_QC_PRJ|TF_QC_PRJ|WQCRC|MRP|
18|FasECN|货品特征建模作业|PRD_MARK||RECO||
19|SYSCASN|工程项目单|CASN||||
20|Up_DefC|分摊开模费的采购政策|UP_DEF_MOD||OTHMBA|OTH|PC
21|FasED|部门代号|DEPT||EDA||
31|FASCHKAM|硫化缴库单|MF_LHMM_SLS|TF_LHMM_SLS||OTH|MO
32|FASEK|数据维护之资料替换|||REK||
33|MrpFK|货品检验标准设定|MF_SQC|TF_SQC||MRP|
34|FASEJ|密码管理|PSWD|||FAS|
35|AccAJ|部门分摊主库|ASHR|ASHR1|SEA|ACC|
36|AccAJ_IFRS|部门分摊主库|ASHR|ASHR1|SLKD|ACC|
37|FasCHKBAT|批号检测|||RFOP|SUN|
38|SEBAN1|设备基础资料|SEBEI|||SEB|
39|OthHZYQD|中类代号/工厂型体|INDX||||
AA|MojBO|模具出入库单|MF_MJAA|TF_MJAA|EBOA|MOJ|MO
AB|SebBN|设备出入库单|MF_SBAA|TF_SBAA|DBNA|SEB|MO
AC|AccDC|批次切制传票|MF_AC|TF_AC|SDC|ACC|NULL
AD|MonCC42|批次兑现[收票]|MF_TCHK|TF_TCHK|UCCC|MON|NULL
AE|TRDBC|销售确认单(S/C)|MF_AESC|TF_AESC||SGT|
AF|FASPG|供应商评估方案|MF_PGFA|TF_PGFA||FAS|
AG|FASGYPG|供应商评估表|MF_GYPG|TF_GYPG||FAS|
AH|AccLD|递延收入/成本回冲处理|MF_DYHC|TF_DYHC|SLD|ACC|
AJ|OTHJHPC|计划排程单|MF_AJ|TF_AJ||OTH|
AK|WagAK|计件工资单价表|MF_JJ|TF_JJ|NULL|WAG|
AL|MojBN|模具盘点单|MF_MJPT|TF_MJPT|EBNA|MOJ|NULL
AM|MojBL|模具摊销作业|MF_TX_M|TF_TX_M|EBLA|MOJ|MO
AN|MojBE|模具异常报告单|MF_MJYCBG|TF_MJYCBG|EBMA|MOJ|MO
AO|INVAO|淘宝退款单|MF_TBAO|TF_TBAO||INV|
AP|NULL|应付立帐单|||NULL|MON|
AQ|CUST_COMPLAIN|客户投诉单|KHTS_QA|||CRM|
AR|NULL|应收立帐单|||NULL|MON|
AS|OthDGWD_APS|排产作业(沃德专案)|MF_APS_WD|TF_APS_WD1||OTH|
AT|MonCC41|批次托收|MF_TCHK|TF_TCHK|UCCB|MON|NULL
AZ|SebBG|设备盘点单|MF_SBPT|TF_SBPT|DBEA|SEB|NULL
B1|DRPB1|条码打印作业|PRDT_BARCODE|||INV|
B2|DRPB2|箱条码打印作业|PRDT_BARCODE_BOX|||INV|
B3||包装类型设定(兆吉)|BZZL|BZPZ||OTH|
B4|OthHZYQBC|制作说明书|MF_BOOK_HZYQ|TF_BOOK_HZYQ||OTH|
B5|OthHZYQBH|出货抽样检验||||OTH|
B6|OthHZYQBI|出货验货报告(惠州兆吉)||||OTH|
BA|PRJBA|项目变更单|M_BA|TF_BA|||
BB|InvBE|借入还出|MF_BLN|TF_BLN|TBI|INV|PC
BC|MONBC|客户储值变动单|MF_CBAC|TF_CBAC|UBC|MON|NULL
BD|FixBB|批次折旧|MF_BD|TF_BD|XBC|INV|NULL
BE|MonDCC|帐户调拨申请单|MF_BDS|TF_BDS|UDBD|MON|BX
BF|InvABH|报价分析单|MF_BJFX_ZS|TF_BJFX_ZS|TAXB|INV|SA
BG|SgtBF|合同变更|CNTT_CHG_SGT|MF_PL_CHG_SGT|CBB|SGT|
BH|DrpBH|分销备货单|MF_DBH|TF_DBH|NULL|DRP|
BJ|MrpACF|批次制令单|MF_BJ||WEDH|MNU|MO
BK|OTH00097|拨款单|||NULL|OTH|
BL|MrpAFD|副产品补录单|MF_BL_FCP|TF_BL_FCP|WEJC|MRP|MO
BM|MonDCB|帐户调拨|MF_BAC|TF_BAC|UDBB|MON|BX
BN|InvBD|借入单|MF_BLN|TF_BLN|TBG|INV|PC
BO|BARBOX|装箱单|||NULL|OTH|
