Sch|Tbl|Cnt
---|---|---
dbo|BILL_PROP_LOG|60687
dbo|BILL_PROP_BK|46690
dbo|BILL_PROP|45553
dbo|SPC_PSWD_BK|12200
dbo|SPC_PSWD|11146
dbo|PRDT|10100
dbo|ping|9843
dbo|ping1|9843
dbo|A_PING_BOM|9843
dbo|TF_BOM|9384
dbo|REPORTS|6075
dbo|REPORTS_BK|5975
dbo|a_ping1|5793
dbo|MF_BOM|5755
dbo|LAYOUT|4962
dbo|LAYOUT_BK|4847
dbo|TABLESRC|2214
dbo|TF_IJ|1361
dbo|BILN|625
dbo|TF_MP1_Z|497
dbo|PRDT1|440
dbo|PRDT_CUS1|340
dbo|PRD_HIS_O|296
dbo|TF_MM0_CASE|261
dbo|BILN1|226
dbo|TF_MP1|212
dbo|PRDT_CUS|178
dbo|DICT_SQL_DBLOG|151
dbo|SH_PRDT1|133
dbo|PRD_HIS_I|121
dbo|TF_MP3|114
dbo|TF_POS|93
dbo|TF_POS_Z|83
dbo|SETDEFVALUES|81
dbo|MF_MO|80
dbo|TF_PSS|72
dbo|TF_PSS_Z|71
dbo|TF_ML|67
dbo|TF_MM0|66
dbo|TF_TW|65
dbo|PRINT_DATA|64
dbo|TF_MO|59
dbo|SH_DJ|56
dbo|MF_TW|54
dbo|TF_TB|50
dbo|MF_TB|49
dbo|SALM|46
dbo|SARP|44
dbo|MF_YG|44
dbo|VIR_GRP|44
dbo|MF_POS|42
dbo|SH_LIST|42
dbo|DB_PSWD|42
dbo|CUST|38
dbo|SYS_SHOW|37
dbo|TF_MP2|37
dbo|A_PING|35
dbo|MF_IJ|32
dbo|MF_PSS|29
dbo|TF_SQ|26
dbo|CUS_WH|24
dbo|PRDT_DEL|23
dbo|RPT_DSC2|22
dbo|TF_BGHIS|19
dbo|MF_ML|18
dbo|DRP_PROP|18
dbo|HYZL|17
dbo|MF_MP|17
dbo|MF_MM0|16
dbo|INDX|15
dbo|INDX_CHK|14
dbo|TF_CS|12
dbo|MF_CS|11
dbo|DEPT|11
dbo|DEPT_CHK|10
dbo|MF_SHLC|10
dbo|SH_USR|10
dbo|MF_SQ|10
dbo|TF_DA_MO_B|10
dbo|TF_SHLC|10
dbo|MY_WH|9
dbo|PRDT_UT|9
dbo|BILD|9
dbo|CUST_DEL|8
dbo|MY_W_CHK|8
dbo|CUS_WH_DEL|6
dbo|TF_DA_MO|6
dbo|TF_BG|5
dbo|MF_BG|5
dbo|FACE_EXP|5
dbo|FACE_EXP_BK|4
dbo|FACE_FLD|4
dbo|FACE_FLD_BK|4
dbo|BIL_SPC|4
dbo|BILTYPE_VOH|4
dbo|RPT_GRP|4
dbo|MYSQL|4
dbo|SALM_DEL|3
dbo|MF_NEEDFLD|3
dbo|TF_MO_Z|3
dbo|TF_NEEDFLD|3
dbo|YG_MOBILE|3
dbo|UP_DEF|2
dbo|TF_BG1|2
dbo|TF_DA_BG|2
dbo|MF_WT|2
dbo|IJREASON|2
dbo|MF_DA|2
dbo|MF_HJ|1
dbo|INDX1|1
dbo|AREA|1
dbo|DEPT_DEL|1
dbo|CSH_FRO|1
dbo|MF_TC|1
dbo|MF_TI|1
dbo|PRDT_PIC|1
dbo|MF_JH|1
dbo|TF_BG1HIS|1
dbo|TF_HJ|1
dbo|TF_JH|1
dbo|TF_TC|1
dbo|TF_TI|1
dbo|TF_TI_B|0
dbo|TF_TJ|0
dbo|TF_TJ_H|0
dbo|TF_TPOS|0
dbo|TF_TRIAL|0
dbo|TF_TS1|0
dbo|TF_TS2|0
dbo|TF_TT|0
dbo|TF_TT1|0
dbo|TF_TVOH|0
dbo|TF_TCHK|0
dbo|TF_TD|0
dbo|TF_TE|0
dbo|TF_TG|0
dbo|TF_TH|0
dbo|TF_TB_B|0
dbo|TF_TB1|0
dbo|TF_TBAO|0
dbo|TF_TBAO1|0
dbo|TF_TBAO2|0
dbo|TF_SQ_CASE|0
dbo|TF_SQ_FX|0
dbo|TF_SQC|0
dbo|TF_SQC1|0
dbo|TF_SQD|0
dbo|TF_ST_M|0
dbo|TF_ST_S|0
dbo|TF_SV|0
dbo|TF_SY|0
dbo|TF_SY_DEP|0
dbo|TF_SZJB|0
dbo|TF_SZJB1|0
dbo|TF_SZTA1|0
dbo|TF_SZTAX|0
dbo|TF_SZTIT|0
dbo|TF_SZTZ|0
dbo|TF_TASKTPL|0
dbo|TF_SHLC_OK|0
dbo|TF_SHLC1|0
dbo|TF_SJ|0
dbo|TF_SJML|0
dbo|TF_SKTZ|0
dbo|TF_SKTZ_FILE|0
dbo|TF_SKTZ_UTF8|0
dbo|TF_SL_NX|0
dbo|TF_SL_PACKLIST|0
dbo|TF_SL_SGT|0
dbo|TF_SL_SGT1|0
dbo|TF_SM|0
dbo|TF_SMT|0
dbo|TF_SMT_MOD|0
dbo|TF_SP|0
dbo|TF_MO_FCP|0
dbo|TF_MM0_B|0
dbo|TF_PSS_MSG|0
dbo|TF_PSS_POS|0
dbo|TF_PSS_RCV|0
dbo|TF_PSS_TB|0
dbo|TF_POS_BD|0
dbo|TF_POS_BD1|0
dbo|TF_POS_CASE|0
dbo|TF_POS_FX|0
dbo|TF_POS_GS|0
dbo|TF_POS_RCV|0
dbo|TF_POS_RT|0
dbo|TF_POS_TB|0
dbo|TF_POS_UPS|0
dbo|TF_POS_XP|0
dbo|TF_TX|0
dbo|TF_TX_M|0
dbo|TF_TY|0
dbo|TF_TY_B|0
dbo|TF_TY1|0
dbo|TF_TZ|0
dbo|TF_TZERR|0
dbo|TF_UAREU|0
dbo|TF_UJ|0
dbo|TF_UP_SLS|0
dbo|TF_USR|0
dbo|TF_VC|0
dbo|TF_VC_UTF8|0
dbo|TF_VHID|0
dbo|TF_VHID_BK|0
dbo|TF_VHID_OFS|0
dbo|TF_VOC|0
dbo|TF_VT|0
dbo|TF_WASTE|0
dbo|TF_WBOM|0
dbo|TF_WC|0
dbo|TF_WC_H|0
dbo|TF_WCTPL|0
dbo|TF_WEBMAIL|0
dbo|TF_WEBMAIL_EML|0
dbo|TF_WEBMAIL_SEND|0
dbo|TF_WI|0
dbo|TF_WI1|0
dbo|TF_WJ_M|0
dbo|TF_WJ_S|0
dbo|TF_WL|0
dbo|TF_WL_P|0
dbo|TF_WL_P_ZJ|0
dbo|TF_WM|0
dbo|TF_WPQTY|0
dbo|TF_WQ|0
dbo|TF_WQ1|0
dbo|TF_WR|0
dbo|TF_WR_CASE|0
dbo|TF_WR_MC|0
dbo|TF_WR_MZ|0
dbo|TF_WR_TBYQ|0
dbo|TF_WX_M|0
dbo|TF_WX_S|0
dbo|TF_XPMB|0
dbo|TF_XQ|0
dbo|TF_XQ1|0
dbo|TF_YD|0
dbo|TF_YG|0
dbo|TF_YG0|0
dbo|TF_YG1|0
dbo|TF_YG10|0
dbo|TF_YG11|0
dbo|TF_YG12|0
dbo|TF_YG13|0
dbo|TF_YG14|0
dbo|TF_YG15|0
dbo|TF_YG2|0
dbo|TF_YG3|0
dbo|TF_YG4|0
dbo|TF_YG5|0
dbo|TF_YG6|0
dbo|TF_YG7|0
dbo|TF_YG8|0
dbo|TF_YG9|0
dbo|TF_YGACC|0
dbo|TF_YGCNT|0
dbo|TF_YGDL|0
dbo|TF_YGFILE|0
dbo|TF_YGJZ|0
dbo|TF_YGSIGN|0
dbo|TF_YQ|0
dbo|TF_YSTZ|0
dbo|TF_YSTZ_LS|0
dbo|TF_YT|0
dbo|TF_YU|0
dbo|TF_YYLB|0
dbo|TF_YZ_QC|0
dbo|TF_ZA|0
dbo|TF_ZC|0
dbo|TF_ZC_SO|0
dbo|TF_ZD|0
dbo|TF_ZDLJ_MC|0
dbo|TF_ZDPJ_MC|0
dbo|TF_ZDSH_MC|0
dbo|TF_ZERO|0
dbo|TF_ZG|0
dbo|TF_ZG_B|0
dbo|TF_ZPTMP|0
dbo|TF_ZPTMP1|0
dbo|TF_ZQ|0
dbo|TF_ZX|0
dbo|TF_ZX1|0
dbo|TF_ZXMX|0
dbo|TF_ZXPHO|0
dbo|TF_ZY|0
dbo|TF1_MOD_BD|0
dbo|TFPOS|0
dbo|TFTZTW|0
dbo|THMB_QA|0
dbo|TPRDT|0
dbo|TRAD_DATA|0
dbo|TRAD_MTH|0
dbo|TRADE_SGT|0
dbo|TRAFFIC_SGT|0
dbo|TRANS_SGT|0
dbo|TRD_BASE|0
dbo|TRD_BASE1|0
dbo|TRD_CUS|0
dbo|TRD_CUS1|0
dbo|TRD_CUS2|0
dbo|TRD_CUS3|0
dbo|TRD_CUS4|0
dbo|TRIAL_NO|0
dbo|TSBJ_NX|0
dbo|TSMB_QA|0
dbo|TZ_VS|0
dbo|TZ_VS_H|0
dbo|TZ_VS_HS|0
dbo|TZ_VS_HS_H|0
dbo|TZERR|0
dbo|UDF_NO|0
dbo|TF_NL|0
dbo|TF_OLC1|0
dbo|TF_OLC2|0
dbo|TF_OLC3|0
dbo|TF_OLC4|0
dbo|TF_PACK|0
dbo|TF_PACK_EP|0
dbo|TF_PACK1|0
dbo|TF_PACK2|0
dbo|TF_PACK3|0
dbo|TF_PACK4|0
dbo|TF_PACK5|0
dbo|TF_PBOM|0
dbo|TF_PCLZ|0
dbo|TF_PD|0
dbo|TF_PG|0
dbo|TF_PG_GS|0
dbo|TF_PG1|0
dbo|TF_PG1_GS|0
dbo|TF_PGFA|0
dbo|TF_PGWL|0
dbo|TF_PIS|0
dbo|TF_PJ|0
dbo|TF_PJSQ|0
dbo|TF_PL_CHG_SGT|0
dbo|TF_PL_SGT|0
dbo|TF_PLUS|0
dbo|TF_PM|0
dbo|TF_POS1|0
dbo|TF_POS1_GS|0
dbo|TF_POS2_GS|0
dbo|TF_POS3_GS|0
dbo|TF_POS4_GS|0
dbo|TF_POS5_GS|0
dbo|TF_POS6_GS|0
dbo|TF_POS7_GS|0
dbo|TF_POS8_GS|0
dbo|TF_POSJB|0
dbo|TF_POSJB1|0
dbo|TF_POSZT|0
dbo|TF_PP|0
dbo|TF_PP1|0
dbo|TF_PR|0
dbo|TF_PRI_H|0
dbo|TF_PSA|0
dbo|TF_PSA1|0
dbo|TF_PSAL|0
dbo|TF_MP3_Z|0
dbo|TF_MPS|0
dbo|TF_MPS1|0
dbo|TF_MPS2|0
dbo|TF_MQC|0
dbo|TF_MRA|0
dbo|TF_MRA1|0
dbo|TF_MRA2|0
dbo|TF_MSC|0
dbo|TF_MTN|0
dbo|TF_MTNQC|0
dbo|TF_MTNQC1|0
dbo|TF_MU|0
dbo|TF_NCQ_QT1|0
dbo|TF_NCQ_QT2|0
dbo|TF_NCQ_QT3|0
dbo|TF_NCQ_QT6|0
dbo|TF_NCQ_QT7|0
dbo|TF_NCQ_QT8|0
dbo|TF_NCQ_SO|0
dbo|TF_NCQ_SO1|0
dbo|TF_NCQ_SO2|0
dbo|TF_NCQ_SO3|0
dbo|TF_NCQ_SO4|0
dbo|TF_NCQ_SO5|0
dbo|TF_NCQ_SO6|0
dbo|TF_NCQA_MC|0
dbo|TF_NCQB_MC|0
dbo|TF_NCQC_MC|0
dbo|TF_NCQD_MC|0
dbo|TF_NCQE_MC|0
dbo|TF_NCQF_MC|0
dbo|TF_NCQG_MC|0
dbo|TF_NCQH_MC|0
dbo|TF_NCQI_MC|0
dbo|TF_NCQJ_MC|0
dbo|TF_NCQK_MC|0
dbo|TF_NCQL_MC|0
dbo|TF_NCQM_MC|0
dbo|TF_NCQT_MC|0
dbo|TF_PSS_ZQ|0
dbo|TF_PSS1|0
dbo|TF_PSS2|0
dbo|TF_PSS3|0
dbo|TF_PSS4|0
dbo|TF_PT|0
dbo|TF_PT1|0
dbo|TF_PT2|0
dbo|TF_PT3|0
dbo|TF_PX|0
dbo|TF_QA|0
dbo|TF_QA_FILE|0
dbo|TF_QC|0
dbo|TF_QC_PRJ|0
dbo|TF_QC_PRJ1|0
dbo|TF_QC_SJ|0
dbo|TF_QC_XJ|0
dbo|TF_QC1|0
dbo|TF_QC2|0
dbo|TF_QCFZC|0
dbo|TF_QCFZC_T|0
dbo|TF_QGHZ|0
dbo|TF_QGHZ1|0
dbo|TF_QL|0
dbo|TF_QTFX|0
dbo|TF_QTFX_941|0
dbo|TF_QTFX_942|0
dbo|TF_QTFX_943|0
dbo|TF_QTFX_944|0
dbo|TF_QTS|0
dbo|TF_QTS_RCV|0
dbo|TF_QTS_SALM|0
dbo|TF_QY_M|0
dbo|TF_QY_S|0
dbo|TF_RCV|0
dbo|TF_RD|0
dbo|TF_REKC_JJ|0
dbo|TF_REKC_YM|0
dbo|TF_REP|0
dbo|TF_RG|0
dbo|TF_RG_SGT|0
dbo|TF_RK_M|0
dbo|TF_RK_S|0
dbo|TF_RM|0
dbo|TF_ROOM|0
dbo|TF_RSC|0
dbo|TF_RW1|0
dbo|TF_RW2|0
dbo|TF_RW3|0
dbo|TF_RW4|0
dbo|TF_RW5|0
dbo|TF_RX_M|0
dbo|TF_RX_S|0
dbo|TF_SA_IFRS|0
dbo|TF_SA1_IFRS|0
dbo|TF_SALEP1|0
dbo|TF_SALEP2|0
dbo|TF_SALEP4|0
dbo|TF_SALEP5|0
dbo|TF_SALEP6|0
dbo|TF_SBAA|0
dbo|TF_SBPT|0
dbo|TF_SBYCBG|0
dbo|TF_SBYCBG1|0
dbo|TF_SC_ZG|0
dbo|TF_SC2_ZG|0
dbo|TF_SCPG|0
dbo|TF_SCPO|0
dbo|TF_SCPO1|0
dbo|TF_SED|0
dbo|TF_SF|0
dbo|TF_SF1|0
dbo|TF_SF2|0
dbo|TF_SF3|0
dbo|TF_SF4|0
dbo|TF_SG|0
dbo|TF_SHARE|0
dbo|TF_SHARE1|0
dbo|TF_SHBK|0
dbo|TF_SHFW|0
dbo|TF_SHIP|0
dbo|TF_JJ|0
dbo|TF_JJDD1|0
dbo|TF_JJDD2|0
dbo|TF_JJDD3|0
dbo|TF_JJDD4|0
dbo|TF_JJFJ|0
dbo|TF_JJFJ1|0
dbo|TF_JJN|0
dbo|TF_JX|0
dbo|TF_JX_GX|0
dbo|TF_JY|0
dbo|TF_JY1|0
dbo|TF_KH|0
dbo|TF_KHCX|0
dbo|TF_KK|0
dbo|TF_KP|0
dbo|TF_KQ|0
dbo|TF_KQTZ|0
dbo|TF_KT|0
dbo|TF_LABORVC|0
dbo|TF_LAYOUT|0
dbo|TF_LAYOUT_DEL|0
dbo|TF_LC|0
dbo|TF_LC_SGT|0
dbo|TF_LCO|0
dbo|TF_LCR|0
dbo|TF_LCR1|0
dbo|TF_LCR2|0
dbo|TF_LHMM_SLS|0
dbo|TF_LHMM2_SLS|0
dbo|TF_LIST|0
dbo|TF_LOCK|0
dbo|TF_LS|0
dbo|TF_LS_QC|0
dbo|TF_LS_QC1|0
dbo|TF_LZ|0
dbo|TF_LZ_EP|0
dbo|TF_LZ_RCV|0
dbo|TF_LZ1|0
dbo|TF_LZ2|0
dbo|TF_MA|0
dbo|TF_MAIL|0
dbo|TF_MAP|0
dbo|TF_MAT|0
dbo|TF_MB|0
dbo|TF_MB_B|0
dbo|TF_MB_FCP|0
dbo|TF_MC|0
dbo|TF_MC_B|0
dbo|TF_ME|0
dbo|TF_ME1|0
dbo|TF_MFIN|0
dbo|TF_MFIN1|0
dbo|TF_MJAA|0
dbo|TF_MJPT|0
dbo|TF_MJYCBG|0
dbo|TF_HJ_DZ|0
dbo|TF_HJ_MC|0
dbo|TF_HK|0
dbo|TF_IBOM|0
dbo|TF_IC|0
dbo|TF_IC_RCV|0
dbo|TF_IC_WC|0
dbo|TF_IC1|0
dbo|TF_IC2|0
dbo|TF_ICGWK|0
dbo|TF_ID|0
dbo|TF_ML_B|0
dbo|TF_ML_CASE|0
