BIL_ID|MENU_NAME|REM|MF_TABLE|TF_TABLE|TAB_TITLE
------|---------|---|--------|--------|---------
05|MojAA1|模具基础资料|MOLD||模具基础数据
06|AccEN1|银行资料|BANK||银行基础资料库
07|AccEO1|帐户资料|BACC||银行/现金帐户库
08|FasEH6|会计科目|ACCN||会计科目库
09|AccGA1|工程案号设置|CASN||工程案号库
11|UP_DEF|一般售价政策|UP_DEF||定价政策
12|UP_DEFA|一般采购政策|UP_DEF||定价政策
13|Up_DefB|一般托工定价政策|UP_DEF||定价政策
14|FasEB|员工资料|SALM||业务员资料档
15|FasECB|仓库资料|MY_WH||库位库
16|AccAD|科目预算输入|ABGT|ABGT1|科目预算档
17|MrpFGE|检验方案设定作业|MF_QC_PRJ|TF_QC_PRJ|检验方案表头
18|FasECN|货品特征建模作业|PRD_MARK||货品特征模版库
19|SYSCASN|工程项目单|CASN||工程案号库
20|Up_DefC|分摊开模费的采购政策|UP_DEF_MOD||分摊开模费的采购政策
21|FasED|部门代号|DEPT||部门代号库
31|FASCHKAM|硫化缴库单|MF_LHMM_SLS|TF_LHMM_SLS|三力士硫化缴库单表头
33|MrpFK|货品检验标准设定|MF_SQC|TF_SQC|货品检验标准档表头
34|FASEJ|密码管理|PSWD||密码档
35|AccAJ|部门分摊主库|ASHR|ASHR1|部门分摊主库
36|AccAJ_IFRS|部门分摊主库|ASHR|ASHR1|部门分摊主库
38|SEBAN1|设备基础资料|SEBEI||设备基础资料表
39|OthHZYQD|中类代号/工厂型体|INDX||中类资料库
AA|MojBO|模具出入库单|MF_MJAA|TF_MJAA|模具出入库表头
AB|SebBN|设备出入库单|MF_SBAA|TF_SBAA|设备出入库表头
AC|AccDC|批次切制传票|MF_AC|TF_AC|传票批次结转库
AD|MonCC42|批次兑现[收票]|MF_TCHK|TF_TCHK|批次票据处理库
AE|TRDBC|销售确认单(S/C)|MF_AESC|TF_AESC|销售确认单(s/c)
AF|FASPG|供应商评估方案|MF_PGFA|TF_PGFA|供应商评估方案
AG|FASGYPG|供应商评估表|MF_GYPG|TF_GYPG|供应商评估表头
AH|AccLD|递延收入/成本回冲处理|MF_DYHC|TF_DYHC|递延收入/成本回冲表头
AJ|OTHJHPC|计划排程单|MF_AJ|TF_AJ|计划排程单
AK|WagAK|计件工资单价表|MF_JJ|TF_JJ|计件工资货品主档
