MENU_NAME|Tbl
---------|---
ABC|MF_DP
ABC|TF_DP
ATTN06|MF_PR
ATTN06|TF_PR
ATTN07|MF_SM
ATTN07|TF_SM
AccAA|VDTL
AccAA|VHED
AccAB|VDTL
AccAB|VHED
AccAD|ABGT
AccAD|ABGT1
AccAJ|ASHR
AccAJ|ASHR1
AccAJ_IFRS|ASHR
AccAJ_IFRS|ASHR1
AccAOA|VDTL
AccAOA|VHED
AccAP|MF_FT
AccAP|TF_FT
AccAT|MF_SA_IFRS
AccAT|TF_SA_IFRS
AccAU|MF_DYSR
AccAU|TF_DYSR
AccAV|MF_SA_IFRS
AccAV|TF_SA_IFRS
AccDA|MF_CB
AccDA|TF_CB
AccDA_IFRS|MF_CB
AccDA_IFRS|TF_CB
AccDC|MF_AC
AccDC|TF_AC
AccDL|MF_HC
AccDL|TF_HC
AccEN1|BANK
AccEO1|BACC
AccGA1|CASN
AccGCJZ|MF_GC
AccGCJZ|TF_GC
AccLD|MF_DYHC
AccLD|TF_DYHC
CRMQA|MF_QA
CRMQA|TF_QA
CSNIY|MF_IQTY
CSNIY|TF_IQTY
CUST_COMPLAIN|KHTS_QA
CardMng|TF_SKTZ
CustPact|CUS_PACT
DRPB1|PRDT_BARCODE
DRPB2|PRDT_BARCODE_BOX
DRPBQ|PRDT_BARBOX_SUB
DRPBQ|PRDT_BARCODE_BOX
DRPCH|MF_JFCHG
DRPCH|TF_JFCHG
DRPDJ|COUPON
DRPDO|MF_DOC
DRPDZ|MF_DTLC
DRPDZ|TF_DTLC
DRPEB|MF_EG
DRPFYSQ|MF_FYSQ
DRPFYSQ|TF_FYSQ
DRPGW|MF_GW
DRPGW|TF_GW
DRPHX|MF_FYHX
DRPHX|TF_FYHX
DRPIV|CUS_VISIT
DRPJF|MF_JF
DRPOP|MF_PJSQ
DRPOP|TF_PJSQ
DRPOR|MF_PJSQ
DRPOR|TF_PJSQ
DRPOY|MF_DOY
DRPOY|TF_DOY
DRPRG|MF_RG
DRPRG|TF_RG
DRPTT|MF_TT
DRPTT|TF_TT
DRPWL|MF_WL
DRPWL|TF_WL
DRPYC|MF_DYH
DRPYC|TF_DYH
DRPYN|MF_DYH
DRPYN|TF_DYH
DrpBH|MF_DBH
DrpBH|TF_DBH
